Type,Prompt1,Prompt2,Prompt3,Prompt4,Prompt5,Prompt6,Prompt7,Prompt8,Prompt9,Prompt10,Prompt11
0-animal,A photo of a bear riding a bicycle,A photo of a cat riding a bicycle,A photo of a dog riding a bicycle,A photo of a lion riding a bicycle,A photo of a tiger riding a bicycle,A photo of a rabbit riding a bicycle,A photo of a panda riding a bicycle,A photo of a fox riding a bicycle,A photo of a wolf riding a bicycle,A photo of a monkey riding a bicycle,A photo of an elephant riding a bicycle
1-clothes,A portrait of a woman wearing a dress,A portrait of a woman wearing a jacket,A portrait of a woman wearing a sweater,A portrait of a woman wearing a skirt,A portrait of a woman wearing a coat,A portrait of a woman wearing a shirt,A portrait of a woman wearing a scarf,A portrait of a woman wearing a hoodie,A portrait of a woman wearing a blouse,A portrait of a woman wearing a suit,A portrait of a woman wearing a vest
2-color,A bear holding a blue balloon.,A bear holding a red balloon.,A bear holding a yellow balloon.,A bear holding a black balloon.,A bear holding a pink balloon.,A bear holding a white balloon.,A bear holding a green balloon.,A bear holding a purple balloon.,A bear holding a orange balloon.,A bear holding a gray balloon.,A bear holding a brown balloon.
3-decorates,A cake decorated with chocolates,A cake decorated with strawberries,A cake decorated with blueberries,A cake decorated with cream,A cake decorated with sprinkles,A cake decorated with almonds,A cake decorated with cherries,A cake decorated with mints,A cake decorated with macarons,A cake decorated with caramel,A cake decorated with raspberries
4-food,A painting of a girl holding a banana,A painting of a girl holding an apple,A painting of a girl holding a grape,A painting of a girl holding a pineapple,A painting of a girl holding a watermelon,A painting of a girl holding a mango,A painting of a girl holding a strawberry,A painting of a girl holding a peach,A painting of a girl holding a papaya,A painting of a girl holding a kiwi,A painting of a girl holding an orange
5-object,A photo of a ball on the table,A photo of a book on the table,A photo of a cup on the table,A photo of a lamp on the table,A photo of a phone on the table,A photo of a chair on the table,A photo of a table on the table,A photo of a pen on the table,A photo of a key on the table,A photo of a bag on the table,A photo of a clock on the table
6-plants,A drawing of a garden filled with sunflowers,A drawing of a garden filled with roses,A drawing of a garden filled with tulips,A drawing of a garden filled with daisies,A drawing of a garden filled with lavender,A drawing of a garden filled with lotus,A drawing of a garden filled with orchids,A drawing of a garden filled with peonies,A drawing of a garden filled with violets,A drawing of a garden filled with carnations,A drawing of a garden filled with hydrangeas
7-text,A magazine cover with the headline “STYLE”,A magazine cover with the headline “FASHION”,A magazine cover with the headline “DESIGN”,A magazine cover with the headline “TRENDS”,A magazine cover with the headline “BEAUTY”,A magazine cover with the headline “LIFESTYLE”,A magazine cover with the headline “MODERN”,A magazine cover with the headline “ELEGANCE”,A magazine cover with the headline “GLAMOUR”,A magazine cover with the headline “FEATURES”,A magazine cover with the headline “INSPIRE”
8-texture,A cup with a smooth surface,A cup with a rough surface,A cup with a shiny surface,A cup with a matte surface,A cup with a soft surface,A cup with a hard surface,A cup with a sticky surface,A cup with a wet surface,A cup with a dry surface,A cup with a grainy surface,A cup with a fuzzy surface
9-Transportation,A drawing of a boy driving a car,A drawing of a boy driving a truck,A drawing of a boy driving a motorcycle,A drawing of a boy driving a bus,A drawing of a boy driving a bicycle,A drawing of a boy driving a scooter,A drawing of a boy driving a train,A drawing of a boy driving a submarine,A drawing of a boy driving a helicopter,A drawing of a boy driving a jet,A drawing of a boy driving a spaceship
